input_url,ats_name,reason,error_category,validation_signals,http_status,final_url,attempted_at
https://jobs.lever.co/174powerglobal,LEVER,ATS URL invalid: 404,not_found,http_404,404,https://jobs.lever.co/174powerglobal,2026-01-14T06:59:12.499283
https://jobs.lever.co/1password,LEVER,ATS URL invalid: 404,not_found,http_404,404,https://jobs.lever.co/1password,2026-01-14T06:59:12.795203
<unknown>,unknown,Exception in resolve_one: local variable 'record' referenced before assignment,exception,,,,2026-01-14T17:59:13.085206
<unknown>,unknown,Exception in resolve_one: local variable 'record' referenced before assignment,exception,,,,2026-01-14T17:59:13.359727
<unknown>,unknown,Exception in resolve_one: local variable 'record' referenced before assignment,exception,,,,2026-01-14T17:59:13.692009
https://jobs.lever.co/Archive,LEVER,ATS URL invalid: 404,not_found,http_404,404,https://jobs.lever.co/Archive,2026-01-14T06:59:22.741810
<unknown>,unknown,Exception in resolve_one: local variable 'record' referenced before assignment,exception,,,,2026-01-14T17:59:23.189413
<unknown>,unknown,Exception in resolve_one: local variable 'record' referenced before assignment,exception,,,,2026-01-14T17:59:23.696666
https://jobs.lever.co/Carbon6Technologies,LEVER,ATS URL invalid: 404,not_found,http_404,404,https://jobs.lever.co/Carbon6Technologies,2026-01-14T06:59:23.937332
<unknown>,unknown,Exception in resolve_one: local variable 'record' referenced before assignment,exception,,,,2026-01-14T17:59:24.217606
